Sentence (Text),Entity1,Entity1 Type,Entity2,Entity2 Type,Relationship,Relationship Type
Customer should be able to send a notification,customer,PERSON,notification,SYSTEM,sends,Association
The system should allow for file uploads,system,SYSTEM,file uploads,PROCESS,allows,Association
Users access the web application,user role,USER ROLE,web application,APPLICATION,accesses,Access
The system fetches data from the database,system,SYSTEM,database,DATA,fetches,Association
The component is part of the system,component,COMPONENT,system,SYSTEM,part,Aggregation
The hardware component runs the application,hardware,HARDWARE,application,APPLICATION,runs,Association
The feature satisfies the technical requirement,feature,FEATURE,technical requirement,TECH REQ,satisfies,Dependency
The business requirement drives the development of the feature,business requirement,BUSINESS REQ,feature,FEATURE,drives,Dependency
The administrator manages user accounts,administrator,USER ROLE,user accounts,DATA,manages,Association
The API is a realization of the service interface,API,COMPONENT,service interface,COMPONENT,realizes,Realization
The mobile application inherits from the base application,mobile application,APPLICATION,base application,APPLICATION,inherits,Inheritance
The server communicates with the database,server,SYSTEM,database,SYSTEM,communicates,Connection
User role has access to specific system features,user role,USER ROLE,system features,FEATURE,accesses,Access
The application stores data in the local cache,application,APPLICATION,local cache,DATA,stores,Association
The frontend component sends requests to the backend component,frontend component,COMPONENT,backend component,COMPONENT,sends,Interaction
The department has a specific data storage location,department,DEPARTMENT,data storage location,LOC,has,Association
The sales department uses the CRM system,sales department,DEPARTMENT,CRM system,SYSTEM,uses,Association
The system is composed of multiple hardware components,system,SYSTEM,hardware components,HARDWARE,composed of,Composition
The authentication service verifies user credentials,authentication service,COMPONENT,user credentials,DATA,verifies,Association
The hardware device provides a connection to the network,hardware device,HARDWARE,network,SYSTEM,provides,Connection
The cloud storage service depends on the authentication service,cloud storage service,COMPONENT,authentication service,COMPONENT,depends on,Dependency
The user interface is an aggregation of multiple UI components,user interface,COMPONENT,UI components,COMPONENT,aggregates,Aggregation
The load balancer distributes incoming traffic evenly,load balancer,COMPONENT,incoming traffic,DATA,distributes,Association
The database is backed up to a remote location,database,DATA,remote location,LOC,backed up,Association
The email notification system interacts with the user,email notification system,SYSTEM,user,PERSON,interacts,Interaction
The user submits a form to create a new record,user,PERSON,new record,DATA,creates,Association
The billing system aggregates data from multiple sources,billing system,SYSTEM,data sources,DATA,aggregates,Aggregation
The content delivery network connects to multiple data centers,content delivery network,SYSTEM,data centers,LOC,connects,Connection
The reporting system fetches data from the data warehouse,reporting system,SYSTEM,data warehouse,DATA,fetches,Association
Customers can access their account information,customer,PERSON,account information,DATA,access,Access
The mobile banking app connects to the backend server,mobile banking app,APPLICATION,backend server,SYSTEM,connects,Connection
The account management component handles account creation,account management component,COMPONENT,account creation,PROCESS,handles,Association
The loan approval system fetches data from the credit history database,loan approval system,SYSTEM,credit history database,DATA,fetches,Association
The bank employee manages the customer accounts,bank employee,USER ROLE,customer accounts,DATA,manages,Association
The ATM hardware communicates with the bank's central server,ATM hardware,HARDWARE,central server,SYSTEM,communicates,Connection
The transaction processing system logs all transactions,transaction processing system,SYSTEM,transactions,DATA,logs,Association
The bank's frontend application sends requests to the backend service,frontend application,APPLICATION,backend service,COMPONENT,sends,Interaction
The customer support department handles customer inquiries,customer support department,DEPARTMENT,customer inquiries,DATA,handles,Association
The online banking system is composed of multiple components,online banking system,SYSTEM,components,COMPONENT,composed of,Composition
The payment gateway depends on the authentication service,payment gateway,COMPONENT,authentication service,COMPONENT,depends on,Dependency
The account creation process requires customer identification,account creation process,PROCESS,customer identification,DATA,requires,Dependency
The bank's database stores account information,bank's database,DATA,account information,DATA,stores,Association
The mobile app interacts with the customer's device,mobile app,APPLICATION,customer's device,HARDWARE,interacts,Interaction
The fraud detection system analyzes transaction data,fraud detection system,SYSTEM,transaction data,DATA,analyzes,Association
The ATM machine is a realization of the ATM interface,ATM machine,HARDWARE,ATM interface,COMPONENT,realizes,Realization
The teller role has access to account management features,teller role,USER ROLE,account management features,FEATURE,accesses,Access
The user interface is an aggregation of multiple UI components,user interface,COMPONENT,UI components,COMPONENT,aggregates,Aggregation
The bank's server is located in a secure data center,bank's server,SYSTEM,secure data center,LOC,located,Association
The bank's website uses HTTPS for secure communication,bank's website,APPLICATION,HTTPS,TECH REQ,uses,Dependency
The bank's mobile app allows customers to view their transaction history,bank's mobile app,APPLICATION,transaction history,DATA,allows,Association
The customer service representative assists customers with account issues,customer service representative,USER ROLE,account issues,DATA,assists,Association
The bank's central server communicates with branch servers,central server,SYSTEM,branch servers,SYSTEM,communicates,Connection
The loan processing system inherits from the base financial system,loan processing system,SYSTEM,base financial system,SYSTEM,inherits,Inheritance
The transaction history is stored in the bank's database,transaction history,DATA,bank's database,DATA,stored,Association
